Date,Open,High,Low,Close,Adj Close,Volume,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Net_Position_NonComm,Net_Position_Comm,Net_Position_NonRept,COT_Index_NonComm,COT_Index_Comm,COT_Index_NonRept,COT_Index_OI,OI_Percentage_Comm,OI_Percentage_Short
2023-04-18,80.8499984741211,81.0999984741211,78.5,78.82499694824219,78.82499694824219,779,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,228791.0,65097.0,89189.0,82733.0,61110.0,27981.0,25512.0,-24092.0,21623.0,2469.0,,,,,,
2023-04-19,78.7249984741211,79.42500305175781,77.9000015258789,78.7750015258789,78.7750015258789,569,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,228791.0,65097.0,89189.0,82733.0,61110.0,27981.0,25512.0,-24092.0,21623.0,2469.0,,,,,,
2023-04-20,78.25,78.25,76.75,76.82499694824219,76.82499694824219,733,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,228791.0,65097.0,89189.0,82733.0,61110.0,27981.0,25512.0,-24092.0,21623.0,2469.0,,,,,,
2023-04-21,77.25,77.5,76.57499694824219,77.0250015258789,77.0250015258789,748,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,228791.0,65097.0,89189.0,82733.0,61110.0,27981.0,25512.0,-24092.0,21623.0,2469.0,,,,,,
2023-04-24,77.17500305175781,78.1500015258789,77.05000305175781,77.69999694824219,77.69999694824219,460,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233443.0,65671.0,92828.0,84339.0,60896.0,29502.0,25788.0,-27157.0,23443.0,3714.0,,,,,,
2023-04-25,77.17500305175781,77.5,76.82499694824219,76.875,76.875,532,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233443.0,65671.0,92828.0,84339.0,60896.0,29502.0,25788.0,-27157.0,23443.0,3714.0,,,,,,
2023-04-26,77.0,78.4000015258789,76.5250015258789,78.2750015258789,78.2750015258789,847,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233443.0,65671.0,92828.0,84339.0,60896.0,29502.0,25788.0,-27157.0,23443.0,3714.0,,,,,,
2023-04-27,78.4000015258789,78.57499694824219,77.3499984741211,78.125,78.125,350,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233443.0,65671.0,92828.0,84339.0,60896.0,29502.0,25788.0,-27157.0,23443.0,3714.0,,,,,,
2023-04-28,78.17500305175781,79.80000305175781,78.17500305175781,79.6500015258789,79.6500015258789,776,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233443.0,65671.0,92828.0,84339.0,60896.0,29502.0,25788.0,-27157.0,23443.0,3714.0,,,,,,
2023-05-01,79.4000015258789,79.55000305175781,78.80000305175781,79.30000305175781,79.30000305175781,438,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,227045.0,60383.0,87405.0,84742.0,61056.0,28143.0,24807.0,-27022.0,23686.0,3336.0,,,,,,
2023-05-02,78.82499694824219,79.0999984741211,78.0999984741211,78.17500305175781,78.17500305175781,638,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,227045.0,60383.0,87405.0,84742.0,61056.0,28143.0,24807.0,-27022.0,23686.0,3336.0,,,,,,
2023-05-03,78.80000305175781,78.9000015258789,78.07499694824219,78.1500015258789,78.1500015258789,1004,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,227045.0,60383.0,87405.0,84742.0,61056.0,28143.0,24807.0,-27022.0,23686.0,3336.0,,,,,,
2023-05-04,77.75,77.82499694824219,77.0,77.07499694824219,77.07499694824219,576,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,227045.0,60383.0,87405.0,84742.0,61056.0,28143.0,24807.0,-27022.0,23686.0,3336.0,,,,,,
2023-05-05,76.69999694824219,76.69999694824219,75.30000305175781,75.5250015258789,75.5250015258789,1501,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,227045.0,60383.0,87405.0,84742.0,61056.0,28143.0,24807.0,-27022.0,23686.0,3336.0,,,,,,
2023-05-08,75.67500305175781,76.0,75.55000305175781,75.625,75.625,531,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230279.0,60549.0,80243.0,86354.0,67553.0,26115.0,25222.0,-19694.0,18801.0,893.0,,,,,,
